順位,キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
281,修学旅行,58800,20,1.444,-39.924,42,58,14,6,10,29,20,10,11
282,ショート パーマ,56800,20,1.44,-71.24,11,89,1,5,14,24,33,16,7
283,薬,83200,20,1.421,-91.274,49,51,2,5,6,11,17,22,37
284,あずきのチカラ,61700,20,1.421,-108.953,18,82,1,7,15,23,23,15,16
285,無集正,50700,20,1.416,-57.146,91,9,1,4,12,22,30,21,10
286,銀行口座 開設,68300,20,1.415,-28.316,44,56,9,10,9,19,26,15,12
287,唯我独尊,62900,20,1.414,-75.746,46,54,4,9,12,18,20,17,20
288,シュリンク,77500,20,1.412,-97.226,32,68,2,6,12,23,26,19,12
289,山陽道 交通情報,74200,20,1.411,-43.253,47,53,1,6,12,23,28,18,12
290,国民民主党(日本 2018-),72400,20,1.408,-36.943,67,33,1,3,9,17,22,20,28
291,マツダ cx-3,69400,20,1.408,-69.871,58,42,2,9,8,17,30,21,13
292,中,64800,20,1.394,-109.602,46,54,3,5,9,17,22,19,25
293,ヘレンケラー,65000,20,1.388,-104.679,40,60,6,9,13,21,17,15,19
294,瞼がピクピクする,74100,20,1.387,-19.071,35,65,3,11,14,20,25,17,10
295,自閉症 顔つき,67700,20,1.384,-131.918,32,68,3,9,21,23,18,15,11
296,おならが出過ぎる 原因,62900,20,1.383,-135.965,29,71,2,7,12,23,24,17,15
297,セルトラリン,65900,20,1.379,-49.868,29,71,2,13,18,26,23,11,7
298,看護師国家試験 2025,69000,20,1.377,-39.088,22,78,2,25,9,17,31,10,6
299,三井アウトレット北広島,60400,20,1.374,-38.521,34,66,3,10,16,25,24,13,9
300,大型免許,60900,20,1.363,-52.431,83,17,2,10,16,25,28,13,6
301,ドーパミン,81100,20,1.354,-21.439,42,58,5,12,13,19,19,15,17
302,児童養護施設,61900,20,1.354,-29.668,31,69,5,11,16,28,21,11,8
303,ctとmriの違い,79600,20,1.352,-86.651,38,62,2,6,9,18,24,19,22
304,出石そば,62400,20,1.351,-45.438,50,50,1,5,9,19,27,22,17
305,ウォーキング,64200,20,1.346,-24.35,48,52,2,4,9,18,25,23,19
306,倫理とは,65800,20,1.339,-90.042,40,60,11,9,9,21,26,13,11
307,オーグメンチン,76500,20,1.338,-86.958,33,67,1,12,18,24,22,13,10
308,イーロンマスク 何した人,77000,20,1.333,-96.08,29,71,2,6,10,20,23,18,21
309,甘いものが食べたい 原因,66900,20,1.33,-56.201,18,82,6,20,21,19,18,9,7
310,肺がん,72400,20,1.327,-28.59,38,62,2,6,8,15,20,20,29
311,太刀魚 レシピ,65800,20,1.326,-52.368,35,65,0,4,12,22,27,18,17
312,介護福祉士 受験資格,75300,20,1.324,-68.462,29,71,1,6,11,24,33,17,8
313,チラージン,67300,20,1.319,-28.019,26,74,1,10,14,21,23,17,14
314,子宮がん検診,63400,20,1.319,-75.871,10,90,1,13,18,29,23,10,6
315,フォレストガンプ,73300,20,1.316,-41.509,54,46,4,15,20,20,18,13,10
316,嘔吐下痢,65600,20,1.313,-48.558,30,70,2,9,19,22,22,16,10
317,田村瑠奈,66400,20,1.309,-53.04,46,54,1,8,22,31,23,10,5
318,おいしい酢,92600,20,1.305,-47.831,19,81,0,1,4,11,22,26,36
1,双極性障害,738000,260,1.486,-8.766,29,71,3,9,14,24,25,15,10
2,ヘルスケア,454000,240,1.941,-18.229,30,70,1,2,8,20,27,21,21
3,お笑い,349000,210,2.017,-15.37,45,55,1,3,11,25,28,17,15
4,話題,398000,190,1.808,-15.353,39,61,2,3,11,23,26,18,17
5,フジテレビジョン,403000,190,1.764,-12.108,39,61,1,3,9,22,27,20,18
6,東京都,534000,190,1.551,-18.279,47,53,1,3,7,16,22,23,28
7,sns,525000,190,1.551,-2.005,46,54,1,3,9,18,22,20,27
8,アメリカ合衆国,310000,170,1.997,-14.409,53,47,1,2,6,16,21,23,31
9,うつ病の症状,470000,170,1.521,-4.796,34,66,4,11,13,22,25,14,11
10,発達障害とは,477000,170,1.514,-9.134,31,69,2,4,12,25,25,18,14
11,離婚,280000,150,1.895,-7.207,32,68,1,3,13,25,25,17,16
12,神奈川県,486000,150,1.386,-17.057,46,54,2,3,7,17,23,22,26
13,日本テレビ,512000,150,1.344,-4.992,43,57,1,3,8,19,26,23,20
14,オーバードーズ,224000,140,2.116,-3.988,40,60,5,8,11,18,21,18,19
15,認知症,464000,140,1.383,-14.006,35,65,1,3,4,13,28,25,26
16,パニック障害,307000,130,1.661,-14.371,32,68,4,12,16,25,23,12,8
17,イケメン,196000,120,2.062,-11.148,32,68,7,7,12,22,20,14,18
18,福岡県,345000,120,1.518,-7.465,44,56,2,4,11,20,23,19,21
19,イヌ,145000,110,2.272,-9.996,26,74,1,2,6,18,27,22,24
20,フジテレビ系ドラマ,165000,110,2.119,-3.994,24,76,1,2,8,20,30,23,16
21,物議,229000,110,1.843,-6.722,43,57,1,3,11,23,25,19,18
22,静岡県,382000,110,1.331,-7.118,48,52,2,3,8,18,23,22,24
23,なぜ,196000,100,1.906,-17.185,53,47,1,3,9,20,25,20,22
24,東京都の事件事故情報,131000,90,2.139,-15.345,39,61,1,5,14,25,24,16,15
25,精神疾患,138000,90,2.091,-10.197,41,59,6,9,11,19,25,18,12
26,発達障害とは 大人特徴,174000,90,1.875,-4.785,30,70,1,5,11,22,30,19,12
27,謝罪,177000,90,1.803,-9.78,45,55,1,5,13,24,25,16,16
28,ギャンブル依存症,48200,80,3.01,-3.965,56,44,1,10,19,24,23,13,10
29,教員,124000,80,2.151,-1.597,40,60,2,6,14,26,23,16,13
30,障害年金,208000,80,1.596,-9.178,40,60,1,5,10,19,30,23,12
31,自由民主党(日本),218000,80,1.542,-15.062,66,34,1,4,9,16,20,21,29
32,格闘技,244000,80,1.412,-15.025,73,27,1,5,15,28,26,14,11
33,心不全,258000,80,1.357,-7.985,34,66,1,7,11,18,24,19,20
34,引きこもり,59800,70,2.725,-14.038,29,71,2,4,10,25,26,16,17
35,クエチアピン,100000,70,2.213,-10.058,29,71,1,12,14,23,25,16,9
36,いじめ,121000,70,1.957,-3.427,37,63,4,5,11,25,24,16,15
37,活動休止解散(芸能界),128000,70,1.921,-8.283,35,65,1,5,14,26,27,15,12
38,ノンフィクション,194000,70,1.532,-16.555,39,61,4,6,13,28,27,12,10
39,youtuber,218000,70,1.44,-11.302,43,57,6,8,25,30,18,6,7
40,てんかん 症状,210000,70,1.415,-15.095,37,63,5,14,15,22,22,13,9
41,結婚,254000,70,1.323,-2.034,35,65,4,8,15,21,22,15,15
42,メーガン(サセックス公爵夫人),30400,60,3.235,-14.892,10,90,0,1,3,15,23,24,34
43,特定疾患(難病),71800,60,2.461,-11.328,22,78,1,3,10,21,25,21,19
44,厚生年金保険,86000,60,2.195,-10.904,34,66,0,2,3,8,20,37,30
45,睡眠薬,86500,60,2.144,-15.482,48,52,4,11,13,19,21,14,18
46,不登校,84500,60,2.125,-7.706,28,72,4,3,9,34,26,12,12
47,リスペリドン,98600,60,2.022,-8.815,28,72,1,13,15,24,24,15,8
48,デパス,104000,60,1.997,-14.112,37,63,1,9,13,19,22,17,19
49,弁護士,132000,60,1.828,-3.986,49,51,2,4,9,18,22,20,25
50,エチゾラム,140000,60,1.747,-4.183,33,67,1,8,11,20,25,18,17
51,沖縄県,149000,60,1.67,-11.386,47,53,2,4,10,20,23,20,21
52,脳出血,171000,60,1.507,-13.247,33,67,2,6,11,21,26,18,16
53,トイレ,185000,60,1.377,-18.866,43,57,2,5,9,16,22,21,25
54,社会福祉士,213000,60,1.333,-13.937,30,70,3,8,13,26,28,13,9
55,医療保護入院とは,26500,50,3.101,-12.017,31,69,1,11,14,25,26,15,8
56,児童虐待,29300,50,2.996,-11.901,28,72,4,6,11,23,23,16,17
57,誹謗中傷,68200,50,2.288,-10.28,46,54,4,6,11,21,23,17,18
58,ウラジーミルプーチン,66900,50,2.19,-17.984,69,31,1,2,6,14,19,21,37
59,精神保健福祉士,81700,50,2.128,-3.025,28,72,4,9,14,27,26,13,7
60,ロラゼパム,84600,50,2.07,-1.261,31,69,2,12,15,24,24,14,9
61,宮城野親方(白鵬 翔),78200,50,2.058,-15.151,55,45,0,2,4,11,18,23,42
62,ベルソムラ,99600,50,1.851,-13.504,35,65,1,9,12,20,24,17,17
63,陸上競技,117000,50,1.661,-5.5,59,41,3,4,9,21,22,19,22
64,て,145000,50,1.562,-13.314,37,63,2,4,7,16,23,22,26
65,知的障害,130000,50,1.533,-18.941,33,67,4,10,16,24,23,14,9
66,アレルギー,135000,50,1.531,-12.801,31,69,2,5,10,22,25,20,16
67,テニス,151000,50,1.43,-12.558,50,50,3,4,7,16,18,21,31
68,札幌市,162000,50,1.378,-10.5,49,51,1,4,8,17,22,22,26
69,覚醒剤 症状,13100,40,3.757,-1.148,47,53,3,9,16,29,24,9,10
70,心的外傷後ストレス障害(ptsd),28300,40,2.783,-1.823,30,70,1,3,11,24,28,18,15
71,双生児,37900,40,2.721,-13.308,17,83,1,4,13,22,21,18,21
72,美容師,37600,40,2.547,-13.812,30,70,5,6,12,23,23,17,14
73,抗うつ薬,48500,40,2.394,-11.153,35,65,3,12,14,24,24,14,9
74,snsで話題のネタ,52100,40,2.374,-4.98,25,75,1,2,9,20,23,19,26
75,解雇免職,47900,40,2.333,-3.657,53,47,1,4,11,23,26,18,17
76,会長,44500,40,2.321,-13.22,58,42,1,3,10,21,25,19,21
77,ミルタザピン,53200,40,2.309,-12.301,35,65,1,13,18,22,22,14,10
78,政治家の失言問題発言,55100,40,2.255,-14.742,60,40,1,2,6,13,19,23,36
79,小学校教育,64400,40,2.106,-10.077,28,72,2,4,15,29,21,15,14
80,しにたい 楽な方法,65000,40,2.054,-4.625,36,64,11,15,17,25,20,8,4
81,農家,61800,40,2.037,-18.018,51,49,1,3,9,20,22,20,25
82,流通小売,73700,40,2.036,-17.869,41,59,1,3,9,21,26,20,20
83,ストーカー,77800,40,1.946,-3.998,41,59,3,7,15,25,24,14,12
84,アルプラゾラム錠0.4mg,73700,40,1.878,-18.537,31,69,0,1,2,27,32,21,17
85,サラリーマン,74800,40,1.841,-13.04,52,48,2,5,9,21,28,21,14
86,児童相談所,81500,40,1.752,-8.461,32,68,5,8,17,32,21,10,7
87,cbd,85200,40,1.692,-1.695,49,51,4,12,17,23,22,13,9
88,希死念慮,119000,40,1.568,-2.593,33,67,6,18,18,21,20,11,6
89,自立支援医療制度,99900,40,1.555,-8.698,29,71,1,9,14,24,29,15,8
90,訪問看護,109000,40,1.546,-9.818,28,72,1,5,10,23,29,19,13
91,東京ヤクルトスワローズ,101000,40,1.48,-3.335,71,29,4,9,14,21,23,15,14
92,痩せる方法,109000,40,1.463,-7.602,31,69,8,11,13,23,24,13,8
93,腰痛 原因,111000,40,1.456,-17.722,40,60,2,6,11,19,23,21,18
94,視聴率,116000,40,1.448,-11.973,44,56,4,6,8,15,24,23,20
95,アウトドア,119000,40,1.399,-10.71,49,51,2,4,9,21,27,19,18
96,山口組,127000,40,1.323,-10.304,83,17,3,6,12,23,28,16,12
97,膵炎 症状,127000,40,1.305,-12.206,34,66,1,6,11,21,26,19,16
98,覚醒剤 後遺症,4900,30,4.386,-8.957,35,65,1,6,16,33,26,10,8
99,アルコール依存症 末期,7700,30,3.749,-4.804,31,69,1,4,11,25,31,19,9
100,ケンブリッジ公爵夫人キャサリン,13300,30,3.362,-14.339,6,94,0,1,2,13,21,25,38
101,青髪のテツ(クリエイター),17000,30,3.155,-14.903,17,83,0,1,4,12,21,24,38
102,脱サラ料理家ふらお(クリエイター),25200,30,2.73,-2.491,14,86,1,1,6,18,25,22,27
103,キュウリ,22800,30,2.73,-1.504,23,77,1,2,7,15,19,20,36
104,横領事件,24800,30,2.665,-1.55,51,49,1,3,10,23,25,18,20
105,オウム真理教問題,30800,30,2.607,-14.079,40,60,2,4,10,22,25,18,19
106,adhd(注意欠陥多動性障害),31500,30,2.55,-5.192,22,78,1,2,11,29,28,17,12
107,トリアゾラム,34900,30,2.514,-2.434,38,62,1,11,12,19,23,17,17
108,広島県の事件事故情報,29500,30,2.482,-7.493,39,61,1,5,15,25,24,16,14
109,na,29000,30,2.48,-4.076,54,46,3,6,8,15,21,21,26
110,睡眠薬 強さランキング,38000,30,2.417,-11.006,45,55,2,6,11,19,25,19,18
111,暴力団,30100,30,2.374,-15.021,67,33,4,10,16,23,22,13,12
112,損害賠償,37800,30,2.257,-5.612,44,56,2,4,12,23,25,17,17
113,熱愛破局,40000,30,2.204,-3.997,24,76,1,4,15,26,26,16,12
114,ブロチゾラム錠0.25mg,40800,30,2.16,-8.827,35,65,0,6,9,15,21,21,28
115,メンタルクリニック,40000,30,2.138,-16.021,30,70,2,12,13,24,27,13,9
116,寿命,52200,30,2.099,-6.362,39,61,2,3,7,15,23,23,27
117,しにたいとき 対処法,44800,30,2.065,-17.815,31,69,12,19,17,24,15,9,4
118,ルネスタ,43100,30,2.041,-18.162,34,66,1,8,12,20,23,18,18
119,観光名所,47600,30,2.01,-10.936,45,55,1,3,7,18,25,22,24
120,サインバルタ,49400,30,1.938,-7.936,37,63,1,7,12,21,26,18,15
121,抑うつ状態,51200,30,1.892,-17.571,35,65,4,18,18,22,22,10,6
122,教員の不祥事,54400,30,1.881,-10.017,41,59,2,5,12,25,25,17,14
123,ja(農業協同組合),51900,30,1.839,-9.484,57,43,1,2,7,17,22,22,29
124,不眠症 治すには,58800,30,1.8,-14.405,39,61,4,9,12,19,23,17,16
125,ギャバ 効果 効能,70100,30,1.777,-2.293,24,76,1,3,4,12,22,25,33
126,ビジネスパーソン,65700,30,1.77,-6.616,54,46,1,2,10,27,29,17,14
127,日本相撲協会,69900,30,1.72,-17.129,64,36,1,3,6,13,20,24,33
128,アドレナリンとは,90200,30,1.617,-13.01,30,70,7,10,9,17,21,18,18
129,ペインクリニック,79900,30,1.596,-7.748,36,64,1,3,7,17,26,21,25
130,給食,74900,30,1.57,-11.841,32,68,5,9,17,28,20,12,9
131,アミラーゼの数値が高い,79200,30,1.567,-17.003,30,70,0,3,6,15,25,24,27
132,謙虚とは意味,71100,30,1.549,-13.421,35,65,10,10,9,20,22,15,14
133,フレディフリーマン,70800,30,1.544,-1.697,67,33,3,8,13,16,18,19,23
134,パワーハラスメント,74700,30,1.534,-1.883,52,48,1,3,8,19,24,21,24
135,最上,68300,30,1.514,-16.191,53,47,1,4,14,29,29,15,8
136,アカデミー賞,76200,30,1.49,-10.929,40,60,3,7,11,18,22,19,20
137,楽しんご,80900,30,1.407,-16.324,44,56,4,10,17,26,24,12,7
138,なるほど,106000,30,1.406,-8.013,36,64,1,2,6,19,27,23,22
139,ニューヨークヤンキース,92700,30,1.376,-17.763,68,32,3,5,11,17,20,20,24
140,言語聴覚士,99100,30,1.372,-8.259,25,75,5,10,15,26,22,13,9
141,手作り,107000,30,1.33,-1.934,21,79,1,1,5,15,22,26,30
142,筋ジストロフィー,111000,30,1.329,-18.063,32,68,2,11,15,22,23,15,12
143,ノイロトロピン,96700,30,1.324,-7.739,33,67,0,6,10,19,24,19,22
144,鹿児島県,109000,30,1.322,-14.409,51,49,2,4,8,17,21,21,27
145,マンガ 無料,83800,30,1.306,-18.13,31,69,3,4,10,35,32,12,4
146,神奈川県立精神医療センター,6200,20,3.891,-15.302,35,65,2,7,10,19,28,19,15
147,ダイアナ(プリンセスオブウェールズ),6500,20,3.888,-15.603,8,92,0,1,3,12,20,25,39
148,松本俊彦,6700,20,3.619,-7.856,33,67,1,7,9,22,25,19,17
149,水上賢治,10000,20,3.278,-4.094,54,46,0,3,10,21,26,18,22
150,久里浜医療センター,13000,20,3.15,-5.425,36,64,1,6,8,19,27,21,18
151,栄養士食堂(クリエイター),15400,20,3.08,-12.605,18,82,0,1,4,11,20,25,39
152,ヒルナミン,16100,20,2.859,-15.737,35,65,1,13,18,26,24,12,6
153,プチプライス,16900,20,2.785,-12.641,9,91,0,2,9,27,29,19,14
154,監禁事件,19500,20,2.743,-6.948,44,56,1,5,13,26,26,15,14
155,脳科学,16900,20,2.734,-6.803,27,73,3,4,9,20,23,19,22
156,コカインとは,20100,20,2.671,-2.444,59,41,5,13,15,22,20,13,12
157,渡邊大門,15900,20,2.658,-15.848,75,25,0,2,3,16,30,25,24
158,向精神薬,17400,20,2.632,-1.242,34,66,2,14,16,22,23,14,9
159,不登校 親 しんどい,21500,20,2.402,-13.15,15,85,3,1,11,52,25,3,5
160,障害者総合支援法,27100,20,2.391,-13.72,36,64,2,14,10,21,24,17,12
161,新婚さんいらっしゃい!,25200,20,2.389,-14.944,40,60,0,2,10,21,23,19,25
162,セルシン,27300,20,2.302,-5.664,32,68,1,16,16,22,20,13,12
163,依存とは,29200,20,2.269,-14.048,31,69,10,11,9,19,25,15,11
164,和服,32100,20,2.193,-14.15,31,69,3,5,8,15,18,20,31
165,田舎暮らし物件,30600,20,2.19,-6.875,53,47,1,1,4,14,31,27,22
166,栄養失調 症状,32600,20,2.157,-13.262,29,71,5,11,14,20,22,16,12
167,ママ友,36500,20,2.114,-2.326,25,75,1,3,17,30,23,15,11
168,ハンチントン病とは,32200,20,2.114,-14.724,26,74,3,12,13,17,21,18,16
169,日本維新の会 2016,38400,20,2.075,-16.648,71,29,1,2,6,15,20,21,35
170,ベンゾジアゼピン,35200,20,2.041,-1.231,36,64,1,15,14,23,22,14,11
171,いぬきち(クリエイター),33000,20,2.026,-10.405,37,63,1,5,14,25,28,17,10
172,不安感が強い時の対処法,40700,20,2.021,-13.188,25,75,3,6,11,26,30,15,9
173,インチュニブ,40100,20,2.019,-6.924,31,69,2,11,18,31,22,10,6
174,ヒースレジャー,32100,20,2.008,-10.302,44,56,4,11,20,25,21,12,7
175,医療費,41100,20,1.995,-1.045,43,57,1,3,7,14,20,23,32
176,デパケン,33400,20,1.969,-17.414,29,71,1,12,16,24,24,14,9
177,虐待,42600,20,1.951,-8.411,30,70,6,7,13,21,24,17,12
178,リサイクル,39700,20,1.929,-9.14,47,53,3,4,9,21,26,18,19
179,メンタルヘルス,46300,20,1.909,-5.194,42,58,3,7,11,22,27,17,13
180,障害年金 3級 いくら,42800,20,1.887,-8.531,33,67,1,6,11,21,34,18,9
181,実写化,38100,20,1.881,-18.764,48,52,2,5,15,27,27,15,9
182,眼鏡,36800,20,1.869,-1.577,48,52,3,6,12,23,27,15,14
183,熟年離婚,47000,20,1.818,-14.18,38,62,0,3,7,17,32,26,15
184,ヘイリービーバー,41100,20,1.817,-10.442,17,83,2,11,24,33,19,7,4
185,マイスリー5mg,53300,20,1.785,-10.873,31,69,1,4,6,13,21,22,33
186,クレイトンカーショウ,42900,20,1.769,-8.807,72,28,1,5,10,14,19,22,29
187,老後2000万円問題,49200,20,1.765,-15.655,37,63,0,3,7,13,26,30,21
188,低カリウム血症,56000,20,1.744,-15.216,29,71,1,16,15,22,22,15,9
189,エスシタロプラム10mg,41700,20,1.727,-17.651,29,71,1,5,8,27,32,17,10
190,ゾルピデム酒石酸塩錠5mg,55700,20,1.719,-13.84,33,67,1,5,7,13,21,22,31
191,アスペルガー症候群 大人特徴 女性,52800,20,1.71,-18.727,16,84,1,6,12,24,30,17,10
192,更年期障害,55100,20,1.658,-1.221,29,71,1,4,8,32,39,9,7
193,特撮,46000,20,1.644,-10.882,54,46,2,7,13,20,25,18,15
194,神経痛 治し方,61200,20,1.604,-4.513,34,66,1,3,6,13,23,25,29
195,頭がぼーっとする,52400,20,1.596,-8.418,38,62,5,13,15,20,18,13,16
196,プロレスラー,63200,20,1.542,-4.053,61,39,1,4,10,24,28,18,15
197,トラウマとは,57800,20,1.54,-3.387,47,53,3,5,6,13,20,22,31
198,宝塚市,71600,20,1.524,-10.9,48,52,2,4,7,13,20,23,31
199,マヌカハニー 発がん,65000,20,1.51,-10.234,20,80,1,3,10,18,25,23,20
200,過眠症,58600,20,1.486,-14.709,26,74,12,21,19,21,16,7,4
201,名言,59000,20,1.471,-3.276,45,55,16,10,12,24,18,10,10
202,サムハラ神社,70900,20,1.466,-5.405,28,72,1,3,10,21,36,20,9
203,ガーデニング,69800,20,1.449,-2.031,32,68,1,2,5,12,26,29,25
204,指定難病,59300,20,1.427,-7.25,35,65,3,10,13,21,24,17,12
205,公務員 ボーナス,68300,20,1.424,-10.844,46,54,1,13,15,22,26,15,8
206,債務整理,72300,20,1.423,-18.567,50,50,1,12,21,25,23,12,6
207,就労継続支援b型,73700,20,1.412,-9.941,37,63,1,9,12,26,28,16,8
208,矢部美穂,60800,20,1.409,-2.41,60,40,0,4,11,23,30,19,13
209,環境省,66100,20,1.406,-9.682,57,43,3,5,7,17,27,22,19
210,地雷系女子,70000,20,1.4,-7.003,53,47,12,12,17,28,20,8,3
211,中川勝彦,72000,20,1.399,-5.136,24,76,1,3,10,22,31,21,12
212,訪問介護,61400,20,1.393,-17.913,34,66,1,4,8,20,29,22,16
213,スズキ ジムニー,72800,20,1.378,-8.255,54,46,1,7,11,21,26,17,17
214,ぜつがんの症状,66400,20,1.374,-17.509,29,71,1,4,8,18,25,22,22
215,肩こり,63400,20,1.371,-8.891,32,68,2,8,14,22,22,15,17
216,せっクす依存症とは,62100,20,1.364,-14.18,49,51,8,12,16,25,19,9,11
217,ビソプロロールフマル酸塩,79900,20,1.346,-11.639,32,68,0,11,10,19,23,19,18
218,京阪百貨店,68300,20,1.315,-7.4,33,67,1,2,7,17,29,25,19
219,ピップエレキバン,72300,20,1.303,-5.205,37,63,1,7,15,23,25,15,14
1,理由,734000,350,1.812,-0.561,41,59,1,3,10,22,25,20,19
2,アルコール依存症,126000,170,2.864,-0.037,37,63,1,6,11,24,28,18,12
3,統合失調症 症状,172000,110,2.084,-0.658,26,74,3,9,11,20,25,18,14
4,大麻,116000,90,2.291,-0.465,49,51,4,10,14,23,23,14,12
5,美容,141000,90,2.053,-0.426,17,83,1,3,11,26,29,17,13
6,依存症,33200,80,3.39,-0.01,43,57,5,9,14,23,24,14,11
7,芸能界,114000,80,2.151,-0.982,38,62,1,3,9,21,27,20,19
8,障害者年金,255000,80,1.362,-0.831,40,60,1,3,7,15,28,30,16
9,ゾルピデム,143000,60,1.735,-0.004,34,66,1,9,11,17,24,18,20
10,バッグ,183000,60,1.517,-0.399,21,79,2,5,9,19,23,21,21
11,薬物,12500,50,3.873,-0.001,46,54,12,15,17,24,18,8,6
12,肝硬変 症状,149000,50,1.475,-0.88,39,61,1,7,13,22,26,17,14
13,薬物性精神障害,1400,40,5.862,-0.015,24,76,1,3,9,21,30,23,13
14,薬物中毒,3400,40,5.026,-0.001,41,59,3,13,18,27,23,11,5
15,性被害,37600,40,2.603,-0.669,38,62,3,5,12,23,26,16,15
16,韓国政治,54100,40,2.155,-0.993,56,44,2,3,6,15,21,21,32
17,トラゾドン,66500,40,2.029,-0.092,33,67,1,12,16,24,24,14,9
18,デエビゴ錠5mg 効果時間,104000,40,1.693,-0.975,33,67,1,6,7,14,21,21,30
19,覚醒剤 どうなる,4500,30,4.253,-0.349,47,53,3,10,20,31,22,7,7
20,依存症になりやすい人,8000,30,3.899,-0.077,30,70,3,6,11,22,28,19,11
21,精神保健福祉センター,13400,30,3.382,-0.267,28,72,4,14,13,22,25,14,8
22,マリファナ,30400,30,2.554,-0.021,57,43,9,17,18,23,19,8,6
23,炎上,59400,30,1.941,-0.359,48,52,2,5,13,22,23,17,18
24,世論調査,61700,30,1.94,-0.052,64,36,3,7,11,17,19,18,25
25,コンプレックス,91000,30,1.451,-0.012,51,49,4,7,11,24,33,13,8
26,野菜,109000,30,1.421,-0.038,39,61,4,7,10,14,16,18,31
27,依存症 種類,3200,20,4.502,-0.003,39,61,6,11,9,16,23,20,15
28,ダルク,5400,20,4.06,-0.103,53,47,3,9,17,22,22,14,13
29,大麻リキッド,5500,20,3.825,-0.497,69,31,4,16,20,28,22,7,3
